"State","1980-81","1981-82","1982-83","1983-84","1984-85","1985-86","1986-87","1987-88","1988-89","1989-90","1990-91","1991-92","1992-93","1993-94","1994-95","1995-96","1996-97","1997-98","1998-99","1999-00","2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13","2013-14","2014-15","2015-16 (RE)","2016-17 (BE)"
"Andhra Pradesh ","1590.0","1789.0","1943.0","2499.0","2962.0","3546.0","3962.0","4395.0","5284.0","5714.0","6608.0","7849.0","9003.0","10804.0","12167.0","14332.0","15650.0","18704.0","21074.0","23026.0","27785.0","31577.0","34256.0","41113.0","48127.0","48305.0","57793.0","77910.0","76639.61","85375.98999999999","102631.97","115472.82","129555.51999999999","139578.99","127039.16","111108.31","134090.01"
"Arunachal Pradesh","NA","NA","NA","NA","NA","NA","244.0","305.0","341.0","357.0","419.0","450.0","485.0","509.0","667.0","814.0","891.0","916.0","1030.0","1052.0","1177.0","1235.0","1451.0","1902.0","1792.0","2581.0","2847.0","3682.0","7029.09","5431.26","5823.68","6179.999999999999","6660.179999999999","7461.02","8647.109999999999","12221.35","13952.67"
"Assam","709.0","568.0","665.0","914.0","1051.0","1262.0","1524.0","1776.0","1877.0","2168.0","2749.0","2731.0","3173.0","3482.0","5317.0","4581.0","4235.0","4986.0","5268.0","6585.0","7509.0","7962.0","9622.0","10904.0","14434.0","13669.0","15160.0","16409.0","21560.89","23711.109999999997","24948.09","29527.27","32993.24","34807.22","43692.950000000004","52721.46","74564.94"
"Bihar","1690.0","1628.0","1707.0","2196.0","2505.0","3315.0","3458.0","3825.0","4318.0","5194.0","6036.0","6757.0","7702.0","8381.0","8607.0","9104.0","2922.0","11214.0","16044.0","18572.0","17497.0","15121.0","16723.0","18953.0","21924.0","22871.0","26607.0","32444.0","5781.030000000001","41367.79","50762.36","58652.909999999996","71118.98","82411.42","93868.96","118497.68999999999","144627.47"
"Chhattisgarh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2142.0","5701.0","7284.0","8593.0","9722.0","10290.0","12923.0","15349.0","16938.29","20988.27","24655.77","28645.94","33931.35","40070.28","45095.23","66530.31","71011.84"
"Goa","NA","NA","NA","NA","NA","NA","259.0","362.0","248.0","335.0","431.0","399.0","461.0","550.0","638.0","928.0","944.0","1274.0","1513.0","1571.0","1919.0","2320.0","2364.0","2421.0","2686.0","3005.0","3313.0","3583.0","4501.08","5395.790000000001","6577.93","6765.0599999999995","6974.26","8164.15","8752.62","11222.81","13017.32"
"Gujarat","1370.0","1524.0","2000.0","2179.0","2395.0","2596.0","3428.0","3965.0","4466.0","4969.0","5510.0","6882.0","7803.0","8636.0","9721.0","11089.0","12430.0","14963.0","18955.0","21285.0","26920.0","25556.0","28263.0","33186.0","34960.0","37430.0","40456.0","45959.0","51277.04","58242.07","74507.91","83060.40999999999","98337.97","101837.07","118471.08","133470.98","150133.90000000002"
"Haryana","576.0","666.0","852.0","999.0","1036.0","1351.0","1506.0","1657.0","1897.0","2045.0","2453.0","2742.0","2915.0","4164.0","7010.0","8953.0","7571.0","7780.0","8509.0","8325.0","9116.0","10418.0","11071.0","15615.0","15586.0","16527.0","22776.0","21301.0","22977.73","29294.89","34370.23","41165.03","46448.08","51793.32","55557.72","89622.93","87305.99"
"Himachal Pradesh","333.0","260.0","341.0","374.0","466.0","638.0","633.0","820.0","886.0","918.0","1170.0","2275.0","1338.0","1837.0","1693.0","1794.0","2718.0","3317.0","3080.0","6239.0","5395.0","5267.0","6733.0","8143.0","8337.0","8909.0","9844.0","12058.0","12507.2","13332.85","16541.87","17271.36","19850.82","19434.65","24281.63","29326.31","32372.750000000004"
"Jammu & Kashmir","421.0","542.0","503.0","617.0","693.0","918.0","990.0","1223.0","1405.0","1611.0","1746.0","1864.0","2281.0","2470.0","3339.0","3572.0","3928.0","4400.0","5770.0","7230.0","7338.0","7750.0","8200.0","8854.0","11164.0","13467.0","13876.0","17046.0","18785.01","22552.79","25572.7","30717.37","30915.339999999997","33940.67","35988.51","47963.9","60644.5"
"Jharkhand","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7661.0","9222.0","9233.0","10930.0","10537.0","15293.0","16210.0","18451.54","24130.96","24058.67","25888.33","30626.5","30837.440000000002","39353.46","63733.8","64432.32"
"Karnataka","1262.0","1449.0","1694.0","1969.0","2435.0","2976.0","2952.0","3484.0","3790.0","4427.0","5241.0","6279.0","6727.0","8221.0","9035.0","10265.0","12026.0","13190.0","14906.0","17858.0","19795.0","21941.0","23594.0","29118.0","35990.0","37177.0","45584.0","45846.0","57629.27","64584.96","69366.15000000001","87185.4","95897.85","114767.67","135532.84","137758.71000000002","163241.4"
"Kerala","780.0","1001.0","997.0","1251.0","1448.0","2098.0","1969.0","2249.0","2520.0","2897.0","3352.0","3933.0","4453.0","5238.0","6358.0","6987.0","7963.0","9532.0","10245.0","12881.0","12729.0","13354.0","16757.0","19528.0","20740.0","21659.0","23985.0","28626.0","34208.02","36494.46000000001","41052.79","52393.42","63139.5","66847.86","79311.45","92709.83","111610.0"
