Capital_Receipts,Aggregate_Receipts,Social_Sector_Expenditure,Interest_Payments,Own_Tax_Revenues,Fiscal_Deficits,Outstanding_Liabilities,Aggregate_Expenditure,Revenue_Receipts,Revenue_Expenditure,Revenue_Deficits,Capital_Expenditure,Nominal_GSDP_Series
325.0,1590.0,532.0,81.7,582.0,222.1,81.5,1610.0,1265.0,1161.0,-104.0,449.0,8191.0
187.0,709.0,171.0,30.0,66.0,-27.4,43.41,758.0,522.0,357.0,-165.0,401.0,2516.0
702.0,1690.0,452.0,107.1,277.0,335.8,106.33,1791.0,988.0,929.0,-59.0,862.0,7353.0
345.0,1370.0,406.0,68.6,531.0,246.5,80.76,1442.0,1025.0,903.0,-122.0,539.0,7427.0
116.0,576.0,137.0,37.0,234.0,112.0,30.76,607.0,460.0,401.0,-59.0,207.0,3386.0
41.0,333.0,106.0,10.0,34.0,-34.9,13.29,338.0,292.0,188.0,-104.0,150.0,794.0
163.0,421.0,125.0,33.0,38.0,144.5,33.58,428.0,258.0,273.0,15.0,154.0,1186.0
308.0,1262.0,348.0,62.4,475.0,225.9,58.98,1302.0,954.0,895.0,-59.0,407.0,6210.0
140.0,780.0,391.0,45.6,337.0,179.8,49.83,855.0,640.0,668.0,28.0,188.0,4286.0
354.0,1488.0,397.0,77.4,386.0,337.2,77.77,1590.0,1134.0,1016.0,-118.0,573.0,7788.0
519.0,2557.0,754.0,110.3,1130.0,463.3,128.78,2613.0,2038.0,1917.0,-121.0,696.0,16631.0
42.0,153.0,41.0,4.6,3.0,-6.7,3.9,159.0,111.0,71.0,-41.0,88.0,218.0
3.0,93.0,30.0,1.4,5.0,-7.7,2.18,102.0,90.0,60.0,-30.0,42.0,200.0
30.0,174.0,38.0,3.3,4.0,-26.3,4.09,164.0,144.0,92.0,-52.0,73.0,119.0
249.0,870.0,274.0,50.3,132.0,134.1,51.56,877.0,621.0,541.0,-81.0,336.0,3708.0
196.0,764.0,252.0,62.1,349.0,159.8,70.71,817.0,568.0,550.0,-18.0,267.0,5025.0
247.0,1000.0,323.0,79.8,230.0,206.7,65.8,1120.0,753.0,688.0,-65.0,432.0,4637.0
4.0,41.0,9.0,0.4,3.0,5.6,1.42,43.0,37.0,30.0,-7.0,13.0,52.0
420.0,1700.0,506.0,91.1,639.0,210.4,70.44,1686.0,1280.0,1152.0,-128.0,534.0,8081.0
13.0,136.0,49.0,3.1,4.0,-9.1,5.17,143.0,123.0,87.0,-36.0,56.0,286.0
