,Capital_Receipts,Aggregate_Receipts,Social_Sector_Expenditure,Interest_Payments,Own_Tax_Revenues,Fiscal_Deficits,Outstanding_Liabilities,Aggregate_Expenditure,Revenue_Receipts,Revenue_Expenditure,Revenue_Deficits,Capital_Expenditure
Andhra Pradesh ,33203.60107699076,155796.47093538748,65322.58668293955,13620.390085949248,50512.00783664265,23182.90863524375,1818.6103518019981,131474.4365224155,128954.75162969214,96168.52815159239,9105.459235377106,16630.324408174478
Arunachal Pradesh,1022.4938285255782,19751.428377455177,7052.397105135051,551.8364682762173,789.3393407501463,1431.1118587424194,65.19112812640952,20076.1625905447,19014.85859034926,16113.981677238968,-570.1477835829176,4661.787068376201
Assam,9316.71784639595,151320.50817579118,54444.68640110465,3982.7560125829605,21842.491026393138,7216.596816675848,727.9738341123161,115180.87819026319,146744.0275292673,90273.94577922524,-479.76657636306373,24906.888620073463
Bihar,22170.784780545386,218212.86093700535,107550.1617252332,12222.13056347556,57601.31685323269,18509.75565784006,1957.1654110784098,219236.90945261886,182874.81915732226,164178.83302057566,-7313.992735122087,55058.01106950668
Chhattisgarh,11680.003488401897,116932.88496923597,76178.1098415163,4594.867359367134,33220.94127360934,8977.516108863629,762.99999989649,126835.0750364303,103484.20178302677,101757.03968178795,-3215.385931300302,19496.684387631693
Goa,3231.0738295618194,20245.71745797187,9080.0,1632.3259913569057,6150.104695055439,5005.6207872793475,233.54761597679644,27959.569977165826,16700.332564301276,17296.346771513516,0.009913046895304763,10555.249986243209
Gujarat,40832.03452278276,213197.51837181963,95125.47375390434,22349.415833534113,98184.55976531762,25200.024173798032,3367.0760522705013,212107.6976799456,162938.7021000464,160927.73333044053,-7309.999999999999,49144.11813286102
Haryana,42211.31321339763,138345.90304000233,51604.64615051401,19326.746783391376,51500.00000936976,18715.784738976603,2404.0895705726434,118794.30607412264,96064.40942697992,107491.53799369634,10911.767559536214,12583.015178946822
Himachal Pradesh,6233.751152307834,47603.53319553677,19857.207317927772,4573.080154474694,9278.828510839385,3990.980671077916,605.0189922805171,42100.19568516883,35812.96858703635,38363.12515897438,796.085853825264,6134.9400237517875
Jammu & Kashmir,12987.352478583363,112426.3606922323,22330.56224678753,6573.546243785504,11876.148396703247,9690.22610654655,946.2664283413143,68914.47031466874,88637.9464534784,52183.82792011514,-3110.6250393111695,13512.13048824309
Jharkhand,9679.78352895871,99612.96883138853,35304.95842403815,5084.538964201161,26844.376309364394,5641.306326939857,946.3555411148884,97542.95001833228,89613.62675160398,74637.84769910318,-8269.781912265571,23484.769074654636
Karnataka,40240.386906909946,225232.53475483524,94018.0053031992,19436.208467132496,114312.65969541232,28461.43597286901,2809.91262815808,215192.07373919923,183288.91953893882,175575.00895668063,-910.0,33001.29115677071
Kerala,35909.03575375104,177664.95789691142,64426.42033757239,18907.774320147073,77212.11466542339,23242.476593866304,2717.1,173441.69986734772,139005.41999999998,143876.64668418863,9074.764167993948,19474.594428934564
Madhya Pradesh,53969.151074228605,266630.2241996943,108109.00133560417,15972.890918032925,65770.29406641913,25468.318195741464,2397.3566392977054,224648.27259926175,189933.13890589867,194942.00851453497,-2065.406074882517,37499.03852288664
Maharashtra,58131.7895537732,375679.1456466529,182525.90440113447,37590.29381700246,184249.0400691299,33770.058421586196,5108.71525518174,360939.29243160144,308311.7500008698,314665.3810675822,6956.548261565016,43370.26275656727
Manipur,1043.9737366725203,13913.47150651793,5576.59325395134,552.5173205969562,1159.8874990061609,609.1658732740533,115.91599825592506,15048.139593617077,12142.577794396491,13474.57989646909,-837.208247146704,2092.767569918417
Meghalaya,1468.1344330721224,14781.331203809827,7573.582773037804,842.8247918905365,1610.1089467436504,856.310606139686,115.71104398067355,16730.97710405626,12944.809245846405,13497.276517555802,-1091.809393887781,3432.079722193134
Mizoram,1183.6902625604378,11943.217236151104,4727.844871009687,951.2192012292873,951.2192012292873,1067.7620440211786,96.58049130179938,11365.199999189934,11642.155054269957,8939.844356993011,-121.42318705528041,1883.4205913117323
Nagaland,817.8606723600302,21880.539973045758,7437.10247198554,1521.8406434372198,622.7600203812565,1555.798115540041,102.83755173512506,16436.955630686985,15528.009496858138,14344.624909685688,-393.6229064316215,2364.319826710222
Odisha,15732.139189364443,146405.2532756197,66476.16078016699,5166.667294346584,31638.65266059151,20973.86080100834,1142.6999987684158,151228.22134021163,111924.68081288488,114264.6906392424,-5100.0,32543.66082501966
Punjab,20964.98503519035,94308.80616999812,30525.87437936156,14781.224354429383,41981.46942600421,14951.706834054808,2156.371668584144,93317.32719491863,70590.7103988207,76983.8796911895,7306.112848120139,8651.612213313396
Rajasthan,97372.40645663155,286884.0464936904,126172.92860642372,38011.78269144878,81996.09371061034,23514.64052361193,3886.9466861166243,239580.23715550386,187354.17471238037,194041.40740384732,579.3602390827872,42392.00663688405
Sikkim,42392.00663688405,42392.00663688405,3307.730554844486,472.10875019264665,783.7019694995879,436.9657712159275,62.9559959888604,8393.238961570944,6063.484358426449,5911.726623758421,-1276.7416813650402,2100.6602287770625
Tamil Nadu,67016.91237071124,276585.4924430272,112221.41370672548,31803.296418656806,144268.89929913325,50605.000149069674,3744.041835861056,291020.649752578,196690.3189830712,236255.22517777272,5279.9971160667865,43871.02203416945
Telangana,66292.33085601284,237411.92352205014,148487.93167333864,14676.911992260575,135953.5436281871,49018.77832492923,1901.839393022782,1901.839393022782,197754.33937665648,152108.07135628155,-1780.0,34966.65295735659
Tripura,1583.9216600508146,21504.087862750115,15838.568807363681,1631.7452000000003,1884.8626107758937,4835.153683754054,156.9176586509305,30848.04450950893,20019.39346991047,14896.24634255883,-5973.981886733003,15400.21177214427
Uttar Pradesh,69375.8796467047,556484.6123851442,208041.01853103476,36768.84835718263,161761.87842979998,36014.12912025331,6918.491431001376,492459.62169112155,446326.1897246189,349413.4569474617,-51664.321127815085,119485.00692124585
Uttarakhand,8962.86262506001,66558.73357790522,28079.230117402047,6643.389284283468,14867.048666586816,5387.806221871388,673.5491538322884,55739.87192039793,57328.07000000005,33782.936720065845,-864.0760982968462,8478.314171845985
West Bengal,47793.91679342257,258977.0428822998,102303.09447553213,34651.52586243874,72558.73396653844,22624.246660174038,4468.75945722753,213613.08594467826,207819.63330302096,160786.05450686876,6.747605574708109,46636.40217240813
All States,785821.0009271738,4246685.241482712,1869948.6991492806,399722.27978656435,1490542.4845659053,382105.7444686193,53757.52640607754,4115845.1487952746,3454403.9100000006,3280779.32676747,3280779.32676747,756078.1144868456
Delhi,3782.618281594018,42349.64229559534,37070.09094890021,3960.6110060987476,53870.299519557506,2007.5405630949797,425.71667332494866,55735.90083222269,56557.93040100108,48515.12655418796,-8844.185873538072,13680.050614659942
Puducherry,1002.5212583357376,9686.610886772549,3696.4996282998736,730.146551350073,3324.5465982604883,558.2606976627284,111.64640317317284,8559.999630083035,7210.181664007547,7500.485864704757,112.81813902021229,966.1121910412887
