State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Andhra Pradesh ,1610.0,1831.0,1933.0,2588.0,3119.0,3413.0,4068.0,4294.0,5223.0,5768.0,6581.0,7758.0,8984.0,10541.0,12459.0,14301.0,16265.0,17745.0,21958.0,22767.0,28119.0,31074.0,34373.0,40120.0,47153.0,48306.0,56648.0,74875.0,80803.89,85074.79000000001,100635.63999999998,115881.55,129440.92,136629.27,111067.46,112048.99,
Arunachal Pradesh,,,,,,,251.0,348.0,326.0,392.0,398.0,443.0,503.0,575.0,691.0,803.0,891.0,972.0,1004.0,1098.0,1206.0,1381.0,1363.0,2192.0,2085.0,2437.0,2786.0,3068.0,4272.59,5236.62,5579.12,6665.17,6353.56,7781.629999999999,11482.509999999998,12712.91,
Assam,758.0,618.0,691.0,942.0,1165.0,1207.0,1586.0,1794.0,1855.0,2266.0,2689.0,2763.0,3136.0,3620.0,3998.0,4390.0,4267.0,5022.0,5204.0,7086.0,7631.0,8550.0,8936.0,10596.0,14745.0,12088.0,13485.0,15150.0,17485.86,24968.3,25946.97,30268.93,33747.64,37178.4,64979.96000000001,63602.17,
Bihar,1791.0,1871.0,1940.0,2144.0,2408.0,2966.0,3360.0,3914.0,4324.0,5219.0,6217.0,6805.0,7743.0,8433.0,8555.0,9417.0,9407.0,10216.0,12171.0,19548.0,16946.0,14869.0,17752.0,19134.0,20055.0,22568.0,27136.0,31573.0,37181.25,42796.03,50704.52,60180.03,69206.56999999999,80405.17,132186.89,120685.32,
Chhattisgarh,,,,,,,,,,,,,,,,,,,,,1917.0,5624.0,6822.0,8951.0,9647.0,9725.0,11991.0,15029.0,17713.97,21558.72,23564.68,28720.69,34819.250000000015,39441.94,55979.35,65810.7,
Goa,,,,,,,255.0,258.0,284.0,327.0,395.0,466.0,499.0,558.0,601.0,943.0,946.0,1270.0,1458.0,1614.0,1962.0,2353.0,2401.0,2416.0,2541.0,2849.0,3176.0,3559.0,4517.43,5524.450000000002,6228.9,6953.57,7346.450000000002,8149.500000000001,10131.41,13102.77,
Gujarat,1442.0,1565.0,1949.0,2178.0,2463.0,2625.0,3323.0,4089.0,4374.0,4844.0,5470.0,6908.0,7987.0,8408.0,9498.0,10811.0,12576.0,14875.0,19172.0,21466.0,27175.0,25651.0,26921.0,32986.0,34900.0,34235.0,39200.0,42681.0,51897.42,60335.23,71606.61,79414.19,98281.32,104720.58,125490.25,137518.73,
Haryana,607.0,696.0,917.0,960.0,1120.0,1315.0,1509.0,1663.0,1879.0,2121.0,2397.0,2727.0,2956.0,4109.0,6912.0,6131.0,7831.0,7806.0,8581.0,8359.0,9159.0,10728.0,10582.0,15122.0,14442.0,14830.0,19638.0,22079.0,26368.17,32561.93,34434.23,39751.43,46511.92,48928.65,63772.43000000001,71674.79999999999,
Himachal Pradesh,338.0,297.0,353.0,385.0,479.0,588.0,648.0,805.0,985.0,992.0,1118.0,2341.0,1447.0,1691.0,2009.0,2350.0,2633.0,3453.0,4167.0,4714.0,5315.0,5670.0,6616.0,8096.0,8034.0,8587.0,10091.0,10614.0,12492.35,14030.92,16131.28,17328.510000000002,20714.59,21271.18,24894.61,28338.62,
Jammu & Kashmir,428.0,548.0,504.0,620.0,747.0,889.0,989.0,1269.0,1404.0,1611.0,2021.0,2286.0,2321.0,2593.0,3339.0,3573.0,4021.0,4893.0,5849.0,7108.0,7829.0,8050.0,8738.0,8817.0,11127.0,13467.0,13873.0,17046.0,18749.89,22518.56,25568.92,29856.23,31778.03,31908.7,42471.210000000014,45919.52,
Jharkhand,,,,,,,,,,,,,,,,,,,,,,7934.0,9809.0,9738.0,11635.0,13417.0,15726.0,18360.0,20641.47,22712.77,26502.04,26007.07,30399.82,30063.74,50839.55,55492.95,
Karnataka,1302.0,1409.0,1739.0,2002.0,2615.0,2894.0,3069.0,3437.0,3778.0,4401.0,4979.0,6248.0,7100.0,8089.0,8859.0,10406.0,11981.0,12601.0,14886.0,17818.0,19664.0,21938.0,24074.0,29267.0,34246.0,34973.0,44085.0,48031.0,54038.82,62963.51,71934.09,85756.15999999999,96601.17,110648.69999999998,132835.44,140534.43,
Kerala,855.0,1086.0,996.0,1322.0,1572.0,1969.0,2162.0,2251.0,2521.0,2889.0,3376.0,4005.0,4363.0,5138.0,5959.0,6922.0,7943.0,9818.0,10611.0,12900.0,13149.0,13132.0,16967.0,19769.0,20276.0,21115.0,23159.0,28692.0,32553.5,35833.48,40765.26,53789.14,62032.26000000001,69369.89,82947.70999999999,99277.74,
