State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Andhra Pradesh ,449.0,445.0,427.0,546.0,656.0,633.0,824.0,853.0,977.0,1053.0,1076.0,1306.0,1793.0,2523.0,2945.0,3687.0,1872.0,3201.0,5014.0,4729.0,5049.0,6348.0,8316.0,10290.0,15845.0,13391.0,15210.0,20892.0,18949.67,21626.86,22101.38,25466.19,26738.54,26254.78,12758.83,14624.21,
Arunachal Pradesh,,,,,,,78.0,102.0,111.0,134.0,140.0,156.0,163.0,176.0,252.0,296.0,288.0,307.0,257.0,277.0,298.0,351.0,332.0,800.0,576.0,769.0,889.0,809.0,1400.91,1537.88,1834.88,2247.31,1567.3200000000004,2050.23,2959.71,3410.4800000000005,
Assam,401.0,215.0,208.0,254.0,330.0,264.0,437.0,469.0,420.0,598.0,769.0,615.0,685.0,719.0,727.0,815.0,695.0,984.0,788.0,1240.0,1214.0,1704.0,1824.0,2146.0,4516.0,1551.0,2028.0,2406.0,3242.55,3736.12,2995.15,3740.37,4610.719999999998,5206.59,12550.78,12039.32,
Bihar,862.0,704.0,583.0,711.0,721.0,868.0,1083.0,1295.0,1113.0,1275.0,1329.0,1066.0,1174.0,1115.0,823.0,961.0,1153.0,1259.0,1549.0,3420.0,2601.0,2309.0,3727.0,4501.0,5416.0,4812.0,6551.0,8008.0,8669.68,10211.86,12488.6,13680.55,14740.429999999997,17927.94,31932.0,29477.21,
Chhattisgarh,,,,,,,,,,,,,,,,,,,,,305.0,710.0,1292.0,2351.0,2544.0,2268.0,3188.0,4189.0,3920.27,4293.280000000002,4208.93,6092.65,7847.410000000002,6582.37,9313.92,12080.89,
Goa,,,,,,,83.0,90.0,85.0,98.0,120.0,135.0,119.0,128.0,124.0,158.0,157.0,148.0,170.0,178.0,253.0,252.0,401.0,653.0,598.0,658.0,708.0,781.0,1092.02,1296.97,1445.11,1471.49,1285.11,1346.22,2177.45,3573.75,
Gujarat,539.0,526.0,666.0,752.0,762.0,653.0,853.0,996.0,1011.0,1117.0,1388.0,1670.0,1776.0,1474.0,1954.0,2045.0,2317.0,2732.0,3566.0,3948.0,5134.0,2933.0,5481.0,11032.0,10598.0,8769.0,9968.0,9142.0,13155.97,11696.95,14166.61,19669.73,28622.83,29462.03,32892.36,35532.05,
Haryana,207.0,211.0,350.0,338.0,359.0,461.0,542.0,375.0,436.0,419.0,464.0,453.0,577.0,708.0,639.0,770.0,1064.0,1188.0,1562.0,1407.0,1978.0,2072.0,1240.0,5005.0,3035.0,2190.0,3276.0,4553.0,5833.44,7304.55,6124.05,7736.539999999999,8440.2,7041.55,8853.34,9805.18,
Himachal Pradesh,150.0,84.0,90.0,101.0,134.0,177.0,183.0,196.0,216.0,209.0,217.0,1358.0,301.0,339.0,394.0,446.0,486.0,754.0,833.0,892.0,939.0,1093.0,1475.0,2508.0,2242.0,2120.0,2447.0,2322.0,3054.22,2879.91,2885.19,3430.54,4540.34,3918.7,4449.58,4850.93,
Jammu & Kashmir,154.0,252.0,178.0,198.0,238.0,294.0,336.0,408.0,439.0,530.0,772.0,764.0,539.0,825.0,1015.0,1057.0,1123.0,1414.0,940.0,1053.0,1144.0,1927.0,2325.0,2221.0,2939.0,3743.0,3806.0,5361.0,6303.03,7418.63,7102.1100000000015,7175.75,6660.81,4850.93,11420.62,11205.44,
Jharkhand,,,,,,,,,,,,,,,,,,,,,,1935.0,2072.0,2436.0,3217.0,3661.0,4492.0,5264.0,5162.26,5485.56,6259.46,5015.49,7001.99,6632.35,10766.22,12149.71,
Karnataka,407.0,406.0,500.0,586.0,732.0,796.0,864.0,770.0,776.0,918.0,1008.0,1294.0,1508.0,1881.0,1595.0,1925.0,1779.0,1710.0,2440.0,2587.0,2979.0,3332.0,5260.0,7982.0,9315.0,6932.0,10649.0,10656.0,12379.53,15426.59,17900.239999999998,20641.09,20307.91,21459.13,24087.82,25084.75,
Kerala,188.0,331.0,213.0,329.0,433.0,523.0,507.0,470.0,460.0,591.0,552.0,789.0,707.0,845.0,892.0,1096.0,1154.0,1577.0,1383.0,1334.0,1271.0,1470.0,2211.0,4273.0,3106.0,2691.0,2335.0,3801.0,4329.62,4701.12,6100.45,7744.519999999998,8543.52,8884.39,9095.4,14018.62,
Madhya Pradesh,573.0,562.0,610.0,700.0,788.0,813.0,818.0,879.0,978.0,1044.0,1153.0,1217.0,1505.0,1360.0,1506.0,1451.0,1631.0,2498.0,1751.0,1822.0,1938.0,2591.0,4429.0,5158.0,11386.0,8412.0,7854.0,9664.0,10516.38,14135.55,15043.59,27965.25,20528.79,19894.4,25139.97,27137.15,
Maharashtra,696.0,850.0,957.0,1063.0,1183.0,1241.0,1433.0,1425.0,1561.0,1835.0,2019.0,2003.0,2467.0,2874.0,5214.0,4208.0,4159.0,4779.0,4654.0,8705.0,4807.0,4198.0,6743.0,18354.0,21622.0,16397.0,14456.0,15460.0,23374.57,22515.13,23696.05,25174.18,25466.44,31927.4,33255.32,38038.19,
Manipur,88.0,43.0,44.0,53.0,89.0,91.0,101.0,104.0,115.0,123.0,146.0,156.0,426.0,200.0,167.0,192.0,306.0,335.0,327.0,423.0,250.0,779.0,742.0,857.0,949.0,738.0,1211.0,1427.0,1781.5,1711.42,2036.88,1857.42,1676.67,1454.09,2187.54,1687.33,
Meghalaya,42.0,27.0,32.0,40.0,44.0,53.0,73.0,74.0,94.0,92.0,95.0,124.0,133.0,199.0,130.0,198.0,168.0,166.0,192.0,268.0,344.0,238.0,384.0,456.0,474.0,333.0,413.0,517.0,749.94,650.98,757.47,1110.25,1123.87,1259.42,1990.39,1961.77,
