State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Andhra Pradesh ,325.0,323.0,304.0,546.0,668.0,773.0,906.0,917.0,1005.0,1237.0,1261.0,1567.0,1937.0,2553.0,3381.0,4457.0,4457.0,4863.0,6814.0,6221.0,8310.0,9732.0,11253.0,14244.0,19377.0,13454.0,13548.0,23767.0,13781.16,20697.64,21635.67,21919.13,25725.24,28860.16,36366.71,21727.49,24790.16
Arunachal Pradesh,,,,,,,32.0,9.0,34.0,68.0,61.0,4.0,-18.0,-37.0,61.0,60.0,82.0,79.0,106.0,32.0,217.0,177.0,343.0,326.0,290.0,732.0,255.0,679.0,3173.13,1136.4,401.6,680.9399999999998,898.6600000000002,1640.59,-488.94,813.37,1178.51
Assam,187.0,202.0,226.0,363.0,352.0,324.0,314.0,535.0,504.0,636.0,972.0,313.0,560.0,164.0,2356.0,1205.0,379.0,660.0,761.0,1744.0,1871.0,1997.0,2829.0,3139.0,4497.0,1624.0,1493.0,1084.0,3483.86,3826.62,1943.13,2071.87,2302.26,2594.43,5511.46,8458.33,8385.060000000001
Bihar,702.0,468.0,388.0,692.0,711.0,919.0,835.0,1016.0,829.0,1283.0,1714.0,1903.0,1738.0,1752.0,1809.0,1727.0,-5116.0,2521.0,6772.0,5993.0,6112.0,4902.0,5154.0,5428.0,6210.0,5034.0,3524.0,4234.0,5368.56,5840.96,6230.04,7332.74,11552.32,13492.77,15451.420000000002,18313.92,20037.23
Chhattisgarh,,,,,,,,,,,,,,,,,,,,,259.0,1325.0,1867.0,2634.0,2473.0,1451.0,1473.0,1470.0,1275.53,2834.61,1936.22,2778.56,4353.27,8020.01,7162.43,7716.589999999998,9585.17
Goa,,,,,,,88.0,200.0,37.0,118.0,148.0,77.0,72.0,86.0,104.0,110.0,134.0,166.0,366.0,343.0,436.0,447.0,531.0,798.0,866.0,836.0,703.0,639.0,972.81,1295.51,1135.99,985.75,1128.84,1714.38,1063.94,2269.41,2375.36
Gujarat,345.0,364.0,651.0,614.0,625.0,693.0,1268.0,1159.0,1230.0,1368.0,2131.0,2219.0,1892.0,1606.0,1915.0,2545.0,2762.0,3838.0,6212.0,7385.0,11181.0,9570.0,10388.0,14938.0,14695.0,12363.0,9454.0,10269.0,12601.33,16569.71,22144.28,20101.44,23109.43,21861.33,26493.28,29086.54,33767.92
Haryana,116.0,130.0,240.0,300.0,245.0,391.0,376.0,353.0,456.0,438.0,540.0,500.0,537.0,682.0,1128.0,3938.0,1523.0,1882.0,3030.0,2558.0,2542.0,2817.0,2414.0,5772.0,4437.0,2674.0,4824.0,1550.0,4525.43,8302.22,8806.560000000001,10607.44,12814.55,13781.24,14759.06,35455.58,24350.46
Himachal Pradesh,41.0,26.0,69.0,57.0,84.0,119.0,99.0,170.0,188.0,197.0,363.0,1283.0,285.0,372.0,387.0,40.0,726.0,1147.0,768.0,2524.0,2349.0,1551.0,3074.0,4162.0,3702.0,2350.0,2009.0,2916.0,3199.21,2986.49,3831.26,2728.5,4252.7,3723.58,6438.18,4812.11,6102.38
Jammu & Kashmir,163.0,243.0,178.0,241.0,255.0,316.0,295.0,469.0,503.0,653.0,588.0,239.0,232.0,243.0,312.0,316.0,238.0,112.0,1261.0,1716.0,1911.0,892.0,1135.0,348.0,1399.0,1927.0,1895.0,3145.0,2974.04,2999.99,3339.05,5934.41,4698.480000000001,6812.69,7049.92,7059.6100000000015,10184.16
Jharkhand,,,,,,,,,,,,,,,,,,,,,,1561.0,1816.0,1790.0,3623.0,2334.0,5149.0,4598.0,2344.45,4290.190000000001,3956.94,3468.88,5856.940000000001,4700.65,7788.9,15083.51,8675.9
Karnataka,308.0,282.0,413.0,479.0,695.0,963.0,668.0,927.0,826.0,1091.0,1349.0,1504.0,1305.0,1896.0,2067.0,1722.0,2404.0,2577.0,3676.0,4951.0,4972.0,6620.0,7425.0,8358.0,9420.0,6825.0,7997.0,4695.0,14338.6,15429.26,11159.92,17379.129999999994,17721.629999999994,25225.14,31390.69,20027.85,32483.32
Kerala,140.0,150.0,187.0,317.0,323.0,727.0,466.0,663.0,623.0,849.0,949.0,1081.0,1134.0,1316.0,1692.0,1563.0,1818.0,2414.0,3047.0,4939.0,3998.0,4298.0,6123.0,7713.0,7240.0,6364.0,5798.0,7519.0,9695.85,10385.06,10061.84,14383.05,19002.2,17670.93,21360.98,21690.11,26993.140000000007
Madhya Pradesh,354.0,307.0,355.0,518.0,599.0,875.0,726.0,1074.0,867.0,1118.0,1284.0,1061.0,1340.0,1733.0,1912.0,1748.0,3453.0,3120.0,4244.0,4832.0,3627.0,6314.0,5175.0,9555.0,10097.0,8843.0,6002.0,3861.0,9109.52,10065.22,11189.26,18923.28,12238.45,11543.58,23982.81,25211.53,38117.95
Maharashtra,519.0,654.0,775.0,953.0,1366.0,1559.0,1474.0,1462.0,1971.0,2425.0,2300.0,3201.0,2481.0,2937.0,5543.0,5012.0,5596.0,7602.0,9335.0,11187.0,12913.0,11499.0,16701.0,27273.0,31061.0,22653.0,15086.0,3508.0,26775.71,33123.83,27962.75,30234.36,32187.32,32774.96,40961.1,40813.23,52469.8
