State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Andhra Pradesh ,81.7,96.8,112.1,123.0,153.8,190.7,295.6,312.9,372.8,470.9,590.0,700.0,830.0000000000001,1030.0,1260.0,1530.0,1840.0,2150.0,2640.0,3100.0,3790.0,4580.0,6130.0,6859.999999999999,7090.000000000001,7009.999999999999,7280.0,7590.000000000001,8059.999999999999,8910.0,9670.0,10560.0,11660.0,12910.0,10007.221,9477.8651,12258.3468
Arunachal Pradesh,,,,,,,10.8,31.8,10.0,16.7,20.0,20.0,20.0,30.0,30.0,40.0,50.0,60.0,70.0,80.0,120.0,110.0,130.0,140.0,150.0,160.0,190.0,160.0,220.00000000000003,230.0,400.0,280.0,270.0,310.0,350.8831,491.7717,500.8427
Assam,30.0,42.0,55.1,60.8,97.7,102.7,146.2,184.8,218.9,265.4,260.0,90.0,410.0,490.00000000000006,590.0,490.00000000000006,560.0,640.0,520.0,960.0,869.9999999999999,1060.0,1240.0,1450.0,1400.0,1510.0,1520.0,1510.0,1590.0,1830.0,1910.0,2070.0,2110.0,2200.0,2333.7409,2812.1142,3209.322
Bihar,107.1,97.8,124.5,149.6,179.7,222.1,282.3,346.5,378.1,577.8,750.0,1000.0,1240.0,1350.0,1560.0,1670.0,1420.0,1540.0,1870.0,2860.0,2370.0,2750.0,3220.0000000000005,3320.0000000000005,3470.0000000000005,3650.0,3420.0000000000005,3710.0,3750.0,3690.0,4320.0,4300.0,4430.0,5460.0,6128.7491,7229.9283,8178.822600000001
Chhattisgarh,,,,,,,,,,,,,,,,,,,,,290.0,700.0,810.0,1050.0,1150.0,960.0,1030.0,1140.0,1080.0,1090.0,1200.0,1190.0,1150.0,1350.0,1663.6057,2081.303900000001,2589.982
Goa,,,,,,,20.6,33.0,15.7,25.5,30.0,60.0,60.0,70.0,70.0,90.0,100.0,120.0,140.0,180.0,210.0,260.0,290.0,320.0,320.0,400.0,430.0,450.0,510.0,580.0,650.0,710.0,800.0,890.0,1007.5333,1076.1993,1209.5383
Gujarat,68.6,81.7,99.8,117.3,146.4,187.5,244.6,310.5,391.8,470.0,530.0,720.0,930.0,1050.0,1190.0,1330.0,1610.0000000000002,1880.0,2260.0,2810.0,3130.0,4210.0,4950.0,5800.0,6080.0,6140.0,6930.0,7480.0,7880.0,8590.0,9630.0,10930.0,12160.0,13330.000000000002,14945.53,16381.6,17465.81
Haryana,37.0,45.6,51.5,59.2,81.3,97.9,132.6,150.1,160.6,206.4,240.0,320.0,340.0,420.0,490.00000000000006,560.0,720.0,819.9999999999999,1000.0,1360.0,1490.0,1630.0,1950.0,2110.0,2240.0,2100.0,2270.0,2350.0,2340.0,2740.0,3320.0000000000005,4000.0,4740.0,5850.0,6928.273299999999,8280.8598,10490.0372
Himachal Pradesh,10.0,12.4,17.3,18.2,25.3,30.5,41.7,49.1,69.0,88.0,110.0,150.0,180.0,210.0,220.00000000000003,280.0,310.0,370.0,500.0,600.0,800.0,1040.0,1170.0,1470.0,1639.9999999999998,1560.0,1670.0,1700.0,1890.0,1960.0,1950.0,2130.0,2370.0,2480.0,2849.1413,3107.8642,3400.0
Jammu & Kashmir,33.0,30.9,42.1,56.6,67.9,91.2,102.4,114.8,198.3,212.5,220.00000000000003,390.0,360.0,280.0,580.0,440.00000000000006,490.00000000000006,590.0,670.0,840.0,840.0,1090.0,1160.0,1100.0,1180.0,1300.0,1200.0,2030.0,1600.0,2020.0,2280.0,2380.0,2710.0,3000.0,3532.8755,3795.37,4724.62
Jharkhand,,,,,,,,,,,,,,,,,,,,,,790.0,950.0,990.0,770.0,720.0,780.0,1980.0,2140.0,2240.0,2160.0,2270.0,2390.0,2610.0,2929.147,3429.9404000000004,4180.4251
