State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Andhra Pradesh ,582.0,703.0,808.0,965.0,1174.0,1439.0,1559.0,1819.0,2122.0,2384.0,2650.0,3060.0,3390.0,3830.0,4230.0,4120.0,4880.0,7109.999999999999,7959.999999999999,9010.0,10550.0,12560.0,12620.0,13810.0,16250.0,19210.0,23930.0,28790.0,33360.0,35180.0,45140.0,53279.99999999999,59879.99999999999,64120.00000000001,38480.0,44420.0,
Arunachal Pradesh,,,,,,,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,30.0,40.0,40.0,50.0,60.0,80.0,100.0,140.0,170.0,210.0,320.0,320.0,430.0,490.00000000000006,510.0,
Assam,66.0,90.0,108.0,136.0,189.0,235.0,245.0,249.0,279.0,333.0,420.0,510.0,520.0,610.0,630.0,700.0,770.0,880.0000000000001,980.0,1230.0,1410.0,1570.0,1940.0,2070.0,2710.0,3229.9999999999995,3479.9999999999995,3360.0,4150.0,4990.0,5930.0,7640.000000000001,8250.0,8990.0,10750.0,12890.0,
Bihar,277.0,338.0,382.0,442.0,464.0,576.0,659.0,761.0,831.0,925.0,1140.0,1310.0,1560.0,1750.0,1840.0,1970.0,2250.0,2390.0,2670.0,3640.0,2940.0,2440.0,2760.0,3360.0,3340.0,3560.0,4030.0,5090.0,6170.0,8090.000000000001,9870.0,12610.0,16250.0,19960.0,25660.000000000004,30880.0,
Chhattisgarh,,,,,,,,,,,,,,,,,,,,,750.0,1990.0,2330.0,2590.0,3229.9999999999995,4050.0,5050.0,5620.0,6590.000000000001,7120.0,9010.0,10710.0,13030.000000000002,14340.0,18130.0,20090.0,
Goa,,,,,,,61.0,52.0,62.0,70.0,90.0,110.0,140.0,190.0,230.0,270.0,300.0,370.0,360.0,460.0,520.0,570.0,600.0,710.0,860.0,1100.0,1290.0,1360.0,1689.9999999999998,1760.0000000000002,2140.0,2550.0,2940.0,3579.9999999999995,4080.0,4290.0,
Gujarat,531.0,661.0,763.0,879.0,980.0,1075.0,1264.0,1526.0,1871.0,2160.0,2400.0,2890.0,3460.0,3940.0,4740.0,5320.0,6070.0,6590.000000000001,7620.0,8159.999999999999,9050.0,9250.0,9520.0,11170.0,12960.0,15700.0,18470.0,21890.0,23560.0,26740.0,36340.0,44250.0,53900.0,56370.00000000001,62070.00000000001,68420.0,
Haryana,234.0,291.0,337.0,366.0,406.0,502.0,566.0,664.0,795.0,910.0,1070.0,1300.0,1450.0,1590.0,1890.0,2170.0,2140.0,2370.0,3120.0,3520.0000000000005,4310.0,4970.0,5550.0,6350.0,7440.000000000001,9080.0,10930.0,11620.0,11660.0,13219.999999999998,16790.0,20400.0,23560.0,25570.0,29600.0,33250.0,
Himachal Pradesh,34.0,42.0,48.0,54.0,61.0,74.0,92.0,103.0,118.0,142.0,160.0,190.0,220.00000000000003,260.0,300.0,340.0,410.0,480.0,570.0,620.0,730.0,920.0,890.0,980.0,1250.0,1500.0,1660.0000000000002,1960.0,2240.0,2570.0,3640.0,4110.0,4630.0,5120.0,5700.0,6340.0,
Jammu & Kashmir,38.0,60.0,62.0,71.0,79.0,104.0,118.0,123.0,138.0,133.0,160.0,160.0,210.0,230.0,240.0,290.0,290.0,370.0,440.00000000000006,580.0,750.0,860.0,980.0,1150.0,1400.0,1689.9999999999998,1900.0,2300.0,2690.0,3070.0,3479.9999999999995,4750.0,5830.0,6270.0,6440.000000000001,8009.999999999999,
