State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Andhra Pradesh ,-104.0,-80.0,-132.6,88.6,169.0,7.3,189.0,-37.0,-33.0,238.2,157.6,169.6,123.8,-232.3,727.8,738.9,3199.1,703.2,2684.1,1233.3,3595.1,2881.3,3054.0,2962.0,2558.0,64.0,-2807.0,-159.0,-1000.0,-1230.0,-2460.0,-3140.0,-1130.0,-340.0,14240.0,7300.0,
Arunachal Pradesh,,,,,,,-39.0,-50.0,-93.0,-31.6,-100.1,-158.2,-163.2,-147.5,-166.6,-246.5,-206.7,-172.3,-177.1,-199.0,-51.9,-28.0,-77.0,-184.0,8.0,-182.0,-695.0,-743.0,-980.0,-600.0,-1680.0,-1080.0,-980.0,-90.0,1210.0,-2330.0,
Assam,-165.0,36.8,43.9,137.2,135.8,5.6,-61.0,84.0,62.1,136.7,143.8,-269.7,-162.3,-416.3,309.3,200.0,-284.5,-287.1,-90.2,1004.7,779.5,881.4,319.0,685.0,292.0,-1509.0,-2210.0,-2581.0,-3830.0,1350.0,-50.0,-930.0,-1550.0,-240.0,5090.0,-5500.0,
Bihar,-59.0,7.0,37.7,-72.1,-106.7,-297.7,-346.0,-190.0,-277.5,34.0,566.1,885.0,606.0,689.5,933.4,1078.9,216.0,263.9,1350.5,3549.7,2960.7,2341.9,2457.0,1107.0,-1076.0,-81.0,-2498.0,-4645.0,-4470.0,-2940.0,-6320.0,-4820.0,-5100.0,-6440.000000000001,4510.0,-11980.0,
Chhattisgarh,,,,,,,,,,,,,,,,,,,,,-271.1,538.4,113.0,641.0,-146.0,-1381.0,-2647.0,-3039.0,-1870.0,-890.0,-3360.0,-3240.0,-2610.0,810.0,-2380.0,-4230.0,
Goa,,,,,,,1.0,7.0,-12.0,11.0,-7.2,9.5,-8.5,-33.2,-56.2,-32.9,-21.5,14.1,140.8,208.9,226.0,228.5,167.0,140.0,123.0,22.0,-141.0,-166.0,-100.0,130.0,-660.0,-300.0,220.00000000000003,350.0,-50.0,-410.0,
Gujarat,-122.0,-120.3,-66.3,-139.0,-68.3,70.0,309.0,286.0,126.7,126.0,702.7,575.6,299.8,-96.2,-262.2,222.0,591.4,1017.8,2863.4,3616.8,6302.2,6731.5,3565.0,3707.0,4037.0,399.0,-1770.0,-2150.0,70.0,6970.0,5080.0,-3210.0,-5570.0,-4720.0,-6390.0,-7309.999999999999,
Haryana,-59.0,-50.5,-44.8,-75.9,-29.6,-106.1,-163.0,-17.0,1.9,95.0,19.7,32.2,1.7,-80.5,390.5,346.8,718.7,719.4,1540.2,1185.3,607.5,1056.0,685.0,274.0,258.0,-1213.0,-1590.0,-2224.0,2080.0,4260.0,2750.0,1460.0,4440.0,3880.0,9500.0,9560.0,
Himachal Pradesh,-104.0,-21.8,-9.1,-32.7,-37.6,-107.8,-70.0,-41.0,69.8,61.0,94.8,-9.9,93.1,-113.6,307.9,150.3,154.9,528.7,1022.3,106.3,1330.6,860.5,1482.0,1607.0,1158.0,-92.0,-191.0,-850.0,130.0,800.0,540.0,-640.0,580.0,1639.9999999999998,1540.0,-50.0,
Jammu & Kashmir,15.0,-2.3,1.0,46.5,70.9,-6.6,-42.0,107.0,63.9,123.0,91.2,-104.0,-267.0,-459.0,-702.5,-740.7,-791.6,-808.0,400.2,541.6,1258.6,-735.5,-652.0,-1910.0,-1577.0,-1816.0,-1914.0,-2216.0,-3360.0,-4450.0,-3770.0000000000014,-2100.0,-1100.0,-70.0,-3490.0,-3100.0,
Jharkhand,,,,,,,,,,,,,,,,,,,,,,,331.0,-142.0,1111.0,1553.0,1090.0,1484.0,-630.0,-2610.0,140.0,-1430.0,-1370.0,-2710.0,-3830.0,-4680.0,
Karnataka,-59.0,-164.3,-41.9,-72.9,143.6,84.7,-79.0,110.0,38.7,147.0,78.9,178.7,170.0,-116.4,296.2,-62.3,578.9,276.8,1215.2,2325.3,1862.2,3284.5,2646.0,525.0,-1638.0,-2311.0,-4152.0,-3776.0,-1630.0,-1620.0,-4170.0,-4690.0,-1880.0,-350.0,-160.0,-910.0,
Kerala,28.0,-96.0,-26.8,58.2,13.7,74.2,152.0,195.0,163.9,250.0,422.0,364.3,337.4,371.3,399.9,402.8,643.0,1122.9,2030.0,3624.2,3147.1,2605.6,4122.0,3680.0,3669.0,3129.0,2638.0,3785.0,3710.0,5020.0,3670.0000000000014,8030.0,9350.0,11310.0,10260.0,7830.0,
Madhya Pradesh,-118.0,-229.3,-187.8,-176.3,-79.1,-70.4,-35.0,59.0,145.8,-98.0,200.7,43.8,-285.3,448.1,190.5,477.4,1447.8,469.3,2871.8,2932.3,1319.3,3167.8,1169.0,4476.0,-1717.0,-33.0,-3332.0,-5088.0,-4060.0,-5500.0,-6840.000000000001,-9910.0,-7459.999999999999,-5880.0,-6370.0,-5590.0,
Maharashtra,-121.0,-147.4,-210.1,-70.8,212.0,316.7,0.6,-74.0,240.8,374.0,54.7,276.1,728.5,121.9,-277.3,609.1,1590.6,2579.9,3925.9,4268.8,7834.0,8188.6,9371.0,8310.0,10033.0,3842.0,-810.0,-14803.0,-5580.0,8009.999999999999,590.0,2270.0,-4210.0,5080.0,13880.000000000002,3760.0,
Manipur,-41.0,-10.0,-20.3,-24.4,-37.6,-70.4,-50.0,-72.0,-65.0,-33.0,-88.5,-73.3,-82.2,-140.9,-83.7,-72.9,-100.0,-65.3,-108.1,287.1,86.3,161.2,87.0,44.0,-92.0,-404.0,-448.0,-1216.0,-1250.0,-860.0,-1350.0,-650.0,-1500.0,-1560.0,-970.0,-690.0,
Meghalaya,-30.0,-8.1,-11.8,-24.6,-31.2,-48.0,-58.0,-66.0,-77.7,-50.0,-42.2,-35.6,-18.2,-17.9,-73.3,-103.5,-113.5,-11.6,-17.3,-15.9,-52.7,33.6,-84.0,-85.0,50.0,-72.0,-235.0,-188.0,-130.0,-260.0,-250.0,180.0,-540.0,-720.0,-1220.0,-780.0,
Mizoram,,,,,,1.5,-22.0,52.0,-43.0,-64.0,-157.1,-79.0,-47.2,-83.9,-74.9,-62.3,-46.9,-59.9,-44.1,-59.3,193.4,260.4,109.0,-83.0,-107.0,-66.0,-252.0,-131.0,-340.0,-260.0,30.0,-290.0,-30.0,150.0,950.0,-1080.0,
Nagaland,-52.0,-7.8,-5.5,3.3,-37.6,-60.8,-34.0,-23.0,-41.2,46.0,5.2,-6.3,13.0,47.2,90.8,64.1,-8.8,10.9,13.4,36.3,0.4,-44.9,107.0,-547.0,-155.0,-207.0,-550.0,-424.0,-510.0,-470.0,-810.0,-710.0,-600.0,-750.0,-480.0,-230.0,
Odisha,-81.0,-28.0,23.0,-0.4,74.0,60.1,20.0,75.0,107.8,105.0,19.6,187.7,135.7,274.4,459.6,807.1,830.5,904.5,2264.8,2573.9,1926.8,2829.6,1576.0,1421.0,522.0,-481.0,-2261.0,-4244.0,-3420.0000000000005,-1140.0,-3910.0,-5610.0,-5700.0,-3329.9999999999995,-3379.9999999999995,-5100.0,
Punjab,-18.0,-62.6,-102.5,-59.3,9.4,-7.3,-90.0,229.0,244.1,221.0,544.2,480.9,635.6,766.9,741.8,450.2,1357.1,1483.9,2628.7,2727.4,2336.0,3781.2,3754.0,3563.0,3391.0,1242.0,1749.0,3823.0,3860.0,5250.0,5290.0,6809.999999999999,7409.999999999999,6540.000000000001,6240.0,6390.0,
Rajasthan,-65.0,-34.3,-54.5,-44.7,75.9,2.2,60.0,356.0,218.5,30.0,-168.0,-48.5,109.5,300.7,424.8,701.9,866.0,581.8,2996.3,3639.9,2633.6,3795.7,3934.0,3424.0,2143.0,660.0,-638.0,-1653.0,830.0000000000001,4750.0,-1050.0,-3360.0,-3450.0,1040.0,4220.0,-560.0,
Sikkim,-7.0,-7.5,-12.8,-6.8,-18.7,-14.1,-32.0,-28.0,-36.0,-19.0,-31.4,-27.4,-29.5,-36.0,-19.8,-60.0,-38.7,-41.4,54.9,-1.9,-99.3,-142.9,-198.0,-160.0,-169.0,-197.0,-229.0,-351.0,-380.0,-520.0,-140.0,-440.00000000000006,-780.0,-869.9999999999999,-1280.0,-540.0,
Tamil Nadu,-128.0,-81.7,-101.9,-51.7,-17.2,-188.6,-103.0,283.0,274.2,479.0,553.4,1903.9,1526.2,691.9,415.6,311.3,1103.6,1363.9,3436.6,4400.3,3435.8,2738.9,4851.0,1565.0,703.0,-1951.0,-2648.0,-4545.0,-1450.0,3529.9999999999995,2730.0,-1360.0,-1760.0000000000002,1789.9999999999998,3540.0,4620.0,
Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-280.0,-530.0,
Tripura,-36.0,-5.8,-15.2,-4.9,-36.5,-41.2,-42.0,-20.0,-15.1,-7.0,1.7,-15.6,-53.9,0.3,-35.6,-150.7,-121.8,-21.7,-92.7,22.6,96.0,-54.4,81.0,-106.0,-394.0,-633.0,-851.0,-904.0,-950.0,-1410.0,-810.0,-1670.0,-1840.0,-1700.0,-2360.0,-3400.0,
Uttar Pradesh,-183.0,-353.4,-192.4,105.8,147.3,-174.6,177.0,-252.0,604.5,1031.0,1228.3,724.6,1014.5,1148.7,2002.7,2340.7,3179.1,4623.9,8696.2,7252.6,6289.3,6181.8,5117.0,18583.0,6993.0,1268.0,-4901.0,-3449.0,-1860.0,-7050.0,-3510.0,-6980.0,-5180.0,-10070.0,-32410.000000000004,-34120.0,
Uttarakhand,,,,,,,,,,,,,,,,,,,,,-10.6,99.6,457.0,761.0,950.0,74.0,-896.0,-637.0,-240.0,1170.0,10.0,-720.0,-1789.9999999999998,-1100.0,-2160.0,-40.0,
West Bengal,23.0,87.8,242.4,206.2,371.9,-82.9,188.0,115.0,137.2,477.0,1018.9,646.1,436.6,984.3,767.1,1250.2,2135.2,2294.1,4856.2,9287.3,7581.3,8856.1,8635.0,9149.0,8228.0,7391.0,8333.0,8147.0,14710.0,21580.0,17270.0,14569.999999999998,13819.999999999998,18920.0,10360.0,0.0,
All States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi,,,,,,,,,,,,,,-59.0,-549.6,-419.4,-764.2,-1158.7,-820.0,-751.3,-1747.5,-1209.6,-2068.0,-2261.0,-2735.0,-4328.0,-4438.0,-5142.0,-4590.0,-6550.0,-10640.0,-4430.0,-4900.0,-5610.0,-6100.0,-8159.999999999999,
Puducherry,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0,43.0,65.0,110.0,240.0,340.0,450.0,-90.0,180.0,-90.0,0.0,
