State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Andhra Pradesh ,222.1,243.7,172.4,493.0,591.4,435.0,804.0,568.0,673.0,972.0,967.1,1125.3,1569.3,1833.2,2348.5,2416.8,2811.5,2427.8,5705.6,4976.4,7305.9,6723.1,7630.0,7450.0,8190.000000000001,8300.0,5640.0,8790.0,12410.0,14010.0,11800.0,15400.0,17510.0,18040.0,20320.0,17580.0
Arunachal Pradesh,,,,,,,23.0,38.0,1.0,75.0,25.8,-20.3,-9.3,16.1,73.2,39.8,70.1,121.0,55.4,59.3,210.1,274.7,210.0,250.0,390.0,260.0,-110.0,-20.0,330.0,500.0,-10.0,990.0,230.0,1610.0000000000002,3560.0,510.0
Assam,-27.4,171.7,200.1,327.2,366.6,154.0,243.0,421.0,303.0,528.0,567.5,254.7,208.1,-17.9,710.6,652.2,73.8,142.1,338.2,1605.8,1540.0,1448.1,930.0,1390.0,2060.0,-360.0,-710.0,-790.0,-1410.0,4040.0,1990.0,1650.0,1520.0,3780.0,16260.0,4680.0
Bihar,335.8,409.1,434.7,328.0,395.9,326.0,461.0,825.0,535.0,994.0,1594.6,1617.0,1330.9,1339.3,1342.1,1570.6,890.6,981.4,2378.9,6107.7,4884.3,4010.3,4910.0,4110.0,1240.0,3700.0,3020.0,1710.0000000000002,2510.0,5270.0,3970.0000000000014,5910.0,6550.0,8350.0,32820.0,13580.000000000002
Chhattisgarh,,,,,,,,,,,,,,,,,,,,,-47.5,1060.7,970.0,2200.0,1230.0,430.0,-30.0,130.0,1030.0,1760.0000000000002,-410.0,800.0,2660.0,5060.0,5770.0,6840.000000000001
Goa,,,,,,,61.0,72.0,64.0,95.0,96.1,125.3,90.3,59.6,44.5,97.3,104.0,124.6,269.1,341.0,412.9,412.8,380.0,450.0,550.0,600.0,490.00000000000006,540.0,810.0,1240.0,570.0,880.0000000000001,1150.0,1350.0,1739.9999999999998,2710.0
Gujarat,246.5,253.9,376.6,397.6,520.2,514.0,900.0,976.0,735.0,952.0,1798.2,1875.7,1173.6,526.4,1292.4,1745.6,2358.3,3174.5,5619.0,6792.0,7987.6,6510.8,6080.0,9160.0,8700.0,6270.0,5650.0,4770.0,10440.0,15150.0,15069.999999999998,11030.0,16490.0,18420.0,18380.0,22050.0
Haryana,112.0,101.6,188.6,133.7,234.8,230.0,170.0,216.0,289.0,393.0,385.7,374.7,444.1,479.9,534.6,986.0,1099.4,1127.6,2240.4,2132.5,2265.2,2739.6,1470.0,2930.0,1210.0,290.0,-1180.0,1260.0,6559.999999999999,10090.0,7259.999999999999,7150.0,10360.0,8310.0,15630.000000000002,16420.0
Himachal Pradesh,-34.9,56.6,74.1,57.9,79.5,35.0,89.0,129.0,254.0,226.0,278.6,223.8,311.5,152.1,620.4,521.4,572.0,1202.2,1661.5,189.6,1844.8,1511.3,2340.0,2380.0,1810.0,720.0,920.0,550.0,2280.0,2780.0,1830.0,1630.0,2980.0,4010.0,3830.0,3279.9999999999995
Jammu & Kashmir,144.5,135.9,142.0,198.3,248.2,247.0,244.0,417.0,410.0,524.0,661.2,448.7,203.5,87.7,-23.4,96.6,166.2,443.6,1054.4,1338.6,2166.4,748.1,1250.0,-20.0,1010.0,1590.0,1460.0,2610.0,2330.0,2230.0,2370.0,3690.0,4220.0,4550.0,6630.0,6630.0
Jharkhand,,,,,,,,,,,,,,,,,,,,,,1642.7,2190.0,1660.0000000000002,3650.0,4920.0,5260.0,6220.0,3750.0,1780.0,4840.0,1930.0,3400.0,2220.0,4910.0,5160.0
