State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Andhra Pradesh ,1161.0,1386.0,1507.0,2042.0,2463.0,2781.0,3245.0,3441.0,4246.0,4715.0,5505.0,6452.0,7190.0,8018.0,9514.0,10614.0,14392.0,14544.0,16944.0,18038.0,23070.0,24726.0,26057.0,29830.0,31307.0,34915.0,41438.0,53984.0,61854.22,63447.93000000001,78534.26,90415.36,102702.38,110374.49,98308.63,97424.78,
Arunachal Pradesh,,,,,,,173.0,246.0,214.0,258.0,258.0,288.0,340.0,399.0,439.0,507.0,602.0,665.0,747.0,821.0,909.0,1030.0,1031.0,1392.0,1510.0,1668.0,1897.0,2260.0,2871.68,3698.74,3744.24,4417.86,4786.24,5731.4,8522.8,9302.43,
Assam,357.0,402.0,483.0,688.0,835.0,943.0,1149.0,1326.0,1435.0,1669.0,1920.0,2148.0,2451.0,2901.0,3271.0,3576.0,3571.0,4039.0,4416.0,5846.0,6417.0,6846.0,7113.0,8450.0,10229.0,10536.0,11457.0,12744.0,14243.31,21232.18,22951.82,26528.56,29136.92,31971.81,52429.18000000001,51562.85,
Bihar,929.0,1167.0,1357.0,1432.0,1687.0,2098.0,2277.0,2619.0,3211.0,3945.0,4888.0,5739.0,6570.0,7319.0,7731.0,8456.0,8254.0,8957.0,10623.0,16128.0,14345.0,12560.0,14025.0,14632.0,14638.0,17756.0,20585.0,23565.0,28511.57,32584.17,38215.92,46499.48,54466.14,62477.23,100254.89,91208.11,
Chhattisgarh,,,,,,,,,,,,,,,,,,,,,1612.0,4914.0,5530.0,6600.0,7103.0,7457.0,8802.0,10840.0,13793.7,17265.44,19355.75,22628.04,26971.840000000004,32859.57,46665.43,53729.81,
Goa,,,,,,,172.0,169.0,199.0,228.0,275.0,332.0,380.0,431.0,477.0,785.0,789.0,1122.0,1288.0,1437.0,1709.0,2101.0,2000.0,1764.0,1943.0,2191.0,2468.0,2778.0,3425.41,4227.480000000001,4783.79,5482.08,6061.34,6803.280000000002,7953.960000000001,9529.02,
Gujarat,903.0,1039.0,1283.0,1426.0,1701.0,1972.0,2469.0,3093.0,3362.0,3727.0,4082.0,5238.0,6211.0,6934.0,7544.0,8766.0,10259.0,12143.0,15606.0,17517.0,22041.0,22718.0,21440.0,21954.0,24302.0,25465.0,29232.0,33540.0,38741.45,48638.28,57440.0,59744.46,69658.49,75258.55,92597.89,101986.68,
Haryana,401.0,486.0,567.0,623.0,761.0,854.0,967.0,1288.0,1443.0,1702.0,1933.0,2274.0,2379.0,3401.0,6273.0,5362.0,6767.0,6617.0,7019.0,6952.0,7181.0,8657.0,9342.0,10117.0,11407.0,12640.0,16362.0,17527.0,20534.73,25257.38,28310.18,32014.890000000007,38071.72,41887.1,54919.09,61869.62,
Himachal Pradesh,188.0,212.0,263.0,284.0,344.0,411.0,464.0,609.0,768.0,783.0,902.0,983.0,1146.0,1352.0,1614.0,1904.0,2147.0,2699.0,3334.0,3822.0,4376.0,4576.0,5141.0,5588.0,5793.0,6466.0,7644.0,8292.0,9438.13,11151.01,13246.09,13897.97,16174.25,17352.48,20445.03,23487.69,
Jammu & Kashmir,273.0,296.0,326.0,422.0,509.0,595.0,653.0,861.0,966.0,1081.0,1249.0,1521.0,1782.0,1768.0,2324.0,2516.0,2899.0,3480.0,4909.0,6055.0,6685.0,6123.0,6413.0,6596.0,8188.0,9724.0,10067.0,11685.0,12446.86,15099.929999999997,18466.81,22680.48,25117.22,27057.77,31050.590000000004,34714.08,
