State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Andhra Pradesh ,532.0,613.0,697.0,1073.0,1193.0,1470.0,1849.0,1884.0,2103.0,2387.0,2741.0,3121.0,3662.0,3919.0,4265.0,5507.0,6284.0,6759.0,8927.0,8831.0,10006.0,10876.0,11179.0,13367.0,13821.0,14900.0,18654.0,24471.0,31440.0,30280.0,39130.0,45400.0,49440.0,53740.0,46150.0,52450.0
Arunachal Pradesh,,,,,,,78.0,102.0,113.0,126.0,128.0,137.0,172.0,198.0,217.0,263.0,317.0,334.0,332.0,372.0,325.0,449.0,421.0,620.0,650.0,742.0,843.0,953.0,1280.0,1770.0,1570.0,2160.0,1940.0,2550.0,4150.0,4060.0
Assam,171.0,176.0,215.0,339.0,382.0,467.0,597.0,681.0,727.0,769.0,932.0,1113.0,1138.0,1397.0,1538.0,1815.0,1708.0,1892.0,2151.0,2640.0,3077.0,3035.0,3233.0,3709.0,4775.0,4452.0,5220.0,6056.0,6759.999999999999,9160.0,10240.0,11190.0,12300.0,14510.0,28280.0,27810.000000000004
Bihar,452.0,598.0,673.0,677.0,758.0,1231.0,1353.0,1431.0,1849.0,2027.0,2381.0,3073.0,3143.0,3434.0,3524.0,3796.0,4014.0,4375.0,5354.0,8338.0,7408.0,5783.0,6466.0,7023.0,6117.0,8663.0,11127.0,13815.0,16340.0,17870.0,19370.0,24050.0,30740.0,34920.0,67080.0,56140.0
Chhattisgarh,,,,,,,,,,,,,,,,,,,,,968.0,2435.0,2820.0,3244.0,3635.0,4295.0,5707.0,6947.0,8870.0,11680.0,11820.0,14810.0,16970.0,21050.0,30350.0,37350.0
Goa,,,,,,,91.0,86.0,122.0,136.0,162.0,181.0,192.0,216.0,223.0,257.0,292.0,350.0,415.0,470.0,518.0,543.0,626.0,686.0,798.0,880.0,1010.0,1124.0,1460.0,1789.9999999999998,2090.0,2300.0,2500.0,2920.0,3800.0,4680.0
Gujarat,406.0,472.0,643.0,669.0,841.0,1046.0,1252.0,1537.0,1590.0,1726.0,1993.0,2344.0,2456.0,2844.0,3273.0,3666.0,4068.0,4953.0,6609.0,7571.0,9681.0,9029.0,8177.0,8992.0,10127.0,10995.0,13104.0,14893.0,18180.0,23170.0,28590.0,30350.0,38060.0,41880.0,51979.99999999999,57900.0
Haryana,137.0,173.0,235.0,242.0,281.0,369.0,360.0,488.0,650.0,695.0,776.0,781.0,955.0,1093.0,1304.0,1698.0,1628.0,1829.0,2474.0,2572.0,3387.0,3675.0,2810.0,2818.0,3497.0,4742.0,5605.0,7343.0,9810.0,13360.0,13640.0,16269.999999999998,18990.0,18100.0,26670.0,30790.0
Himachal Pradesh,106.0,113.0,128.0,139.0,156.0,223.0,251.0,322.0,398.0,373.0,444.0,495.0,581.0,621.0,731.0,881.0,994.0,1242.0,1553.0,1701.0,1963.0,1912.0,1973.0,2348.0,2328.0,2804.0,3334.0,3736.0,4570.0,4910.0,6020.0,6000.0,7100.0,7890.000000000001,9560.0,11320.0
Jammu & Kashmir,125.0,134.0,149.0,179.0,215.0,273.0,338.0,460.0,458.0,514.0,600.0,732.0,887.0,901.0,1047.0,1223.0,1393.0,1623.0,1496.0,1726.0,2044.0,2321.0,2518.0,2493.0,3104.0,4030.0,4348.0,5108.0,5610.0,6900.0,7430.0,8740.0,9120.0,9810.0,13540.0,14200.0
Jharkhand,,,,,,,,,,,,,,,,,,,,,,3727.0,4904.0,4320.0,5127.0,6156.0,7392.0,7984.0,9870.0,10040.0,12300.0,10720.0,12030.0,11710.0,24530.0,27360.000000000004
Karnataka,348.0,400.0,485.0,525.0,658.0,1010.0,1150.0,1361.0,1441.0,1534.0,1842.0,2299.0,2557.0,3063.0,3449.0,3995.0,4526.0,4886.0,5851.0,6803.0,7541.0,7642.0,7570.0,8315.0,9764.0,11675.0,14407.0,17644.0,20440.0,25100.0,28690.0,32370.0,37830.0,41590.0,56740.0,57450.0
Kerala,391.0,424.0,441.0,557.0,618.0,918.0,942.0,976.0,1109.0,1197.0,1477.0,1594.0,1791.0,2061.0,2387.0,2691.0,3215.0,4239.0,4660.0,5432.0,5242.0,4932.0,6338.0,5924.0,7344.0,7524.0,7189.0,9010.0,10860.0,12030.0,13619.999999999998,18740.0,21650.0,23950.0,31400.0,36570.0
Madhya Pradesh,397.0,456.0,547.0,677.0,773.0,1083.0,1237.0,1527.0,1810.0,1877.0,2439.0,2664.0,3020.0,3508.0,3854.0,4416.0,5267.0,5622.0,6887.0,7417.0,7153.0,6007.0,7158.0,6787.0,7268.0,9425.0,10658.0,12600.0,14690.0,17630.0,23450.0,27130.0,33370.0,35740.0,57529.99999999999,59290.0
Maharashtra,754.0,847.0,1031.0,1282.0,1434.0,1968.0,2480.0,2603.0,2937.0,3446.0,3792.0,4601.0,5561.0,6204.0,6723.0,8361.0,9195.0,10609.0,11407.0,12844.0,15429.0,15452.0,15704.0,18877.0,20433.0,24268.0,28276.0,29721.0,36500.0,47360.0,53829.99999999999,61129.99999999999,70030.0,78200.0,100320.0,110020.0
Manipur,41.0,44.0,47.0,61.0,65.0,80.0,118.0,111.0,151.0,155.0,151.0,185.0,196.0,210.0,241.0,307.0,384.0,416.0,391.0,605.0,449.0,550.0,562.0,603.0,873.0,939.0,1041.0,1179.0,1450.0,1540.0,1930.0,2020.0,2050.0,2110.0,4520.0,3350.0
Meghalaya,30.0,35.0,40.0,54.0,54.0,70.0,79.0,91.0,119.0,130.0,160.0,189.0,198.0,238.0,216.0,288.0,314.0,338.0,390.0,502.0,578.0,565.0,570.0,640.0,741.0,767.0,873.0,1039.0,1220.0,1400.0,1750.0,2340.0,2310.0,2720.0,6440.000000000001,3710.0
Mizoram,,,,,,74.0,12.0,126.0,117.0,130.0,153.0,173.0,200.0,212.0,239.0,292.0,343.0,320.0,379.0,506.0,505.0,542.0,562.0,652.0,647.0,722.0,798.0,940.0,1150.0,1470.0,1600.0,1639.9999999999998,2120.0,2300.0,3190.0,2910.0
Nagaland,38.0,40.0,48.0,62.0,62.0,84.0,110.0,150.0,154.0,181.0,182.0,179.0,224.0,269.0,299.0,364.0,353.0,370.0,415.0,479.0,585.0,544.0,567.0,644.0,629.0,804.0,914.0,1053.0,1120.0,1170.0,1580.0,1610.0000000000002,1970.0,2150.0,3310.0,3810.0
Odisha,274.0,258.0,470.0,357.0,406.0,559.0,668.0,742.0,843.0,938.0,1113.0,1310.0,1492.0,1747.0,1864.0,2188.0,2467.0,2636.0,3246.0,4889.0,4065.0,4122.0,4210.0,4360.0,4598.0,5386.0,6127.0,8196.0,11090.0,12520.0,15240.0,18050.0,19660.0,24810.0,34970.0,37440.0
Punjab,252.0,280.0,292.0,354.0,388.0,681.0,369.0,595.0,929.0,990.0,957.0,1099.0,1058.0,1335.0,1565.0,1767.0,1231.0,2242.0,3054.0,2724.0,3887.0,3730.0,2990.0,3525.0,3747.0,4052.0,4706.0,4991.0,6859.999999999999,7109.999999999999,8350.0,9970.0,12560.0,13080.000000000002,17810.0,18510.0
Rajasthan,323.0,425.0,498.0,544.0,625.0,768.0,971.0,1439.0,1412.0,1405.0,1866.0,2036.0,2393.0,2783.0,3291.0,3912.0,4324.0,4697.0,5953.0,6377.0,7224.0,7730.0,8032.0,9228.0,9845.0,10920.0,12580.0,14683.0,19430.0,21580.0,22790.0,27850.0,33700.0,41900.0,59940.0,67370.0
Sikkim,9.0,11.0,11.0,16.0,20.0,35.0,40.0,46.0,57.0,56.0,61.0,73.0,81.0,90.0,101.0,151.0,166.0,188.0,254.0,245.0,259.0,314.0,348.0,406.0,479.0,501.0,547.0,663.0,819.9999999999999,1010.0,1060.0,1450.0,1390.0,1689.9999999999998,2370.0,2010.0
Tamil Nadu,506.0,605.0,798.0,931.0,972.0,1444.0,1559.0,1735.0,1921.0,2339.0,2985.0,3433.0,3929.0,4251.0,4550.0,5145.0,6210.0,6654.0,8153.0,8862.0,9618.0,9190.0,9662.0,11586.0,13617.0,14297.0,16921.0,19994.0,26890.0,29350.0,36490.0,41900.0,46750.0,55120.00000000001,68280.0,70980.0
Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,46440.0,51130.0
Tripura,49.0,40.0,47.0,61.0,70.0,115.0,133.0,170.0,216.0,227.0,264.0,286.0,261.0,324.0,383.0,429.0,517.0,594.0,673.0,776.0,896.0,968.0,974.0,963.0,1121.0,1121.0,1206.0,1399.0,1680.0,2180.0,2160.0,2690.0,2870.0,3250.0,5970.0,7209.999999999999
Uttar Pradesh,821.0,824.0,1015.0,1131.0,1333.0,1861.0,2075.0,2337.0,2919.0,3610.0,4711.0,4443.0,5573.0,5212.0,6031.0,6466.0,7693.0,9080.0,10477.0,11669.0,12135.0,12279.0,13103.0,12999.0,16932.0,20141.0,24032.0,30006.0,39510.0,47250.0,50670.0,59720.00000000001,67440.0,76560.0,102240.0,116170.0
Uttarakhand,,,,,,,,,,,,,,,,,,,,,355.0,1320.0,1708.0,2027.0,2327.0,2781.0,3226.0,3726.0,4190.0,5620.0,5950.0,7380.0,7970.0,9380.0,15340.0,15200.0
West Bengal,592.0,691.0,843.0,856.0,1115.0,1202.0,1500.0,1652.0,1852.0,2092.0,2824.0,2716.0,2747.0,3323.0,3827.0,4097.0,4991.0,5180.0,6626.0,9338.0,9623.0,9581.0,8463.0,9008.0,9732.0,11445.0,13142.0,16192.0,19470.0,27700.0,30560.000000000004,35610.0,40100.0,45580.0,59220.00000000001,62629.99999999999
All States,6755.0,7656.0,9352.0,10788.0,12418.0,17031.0,19609.0,22651.0,25998.0,29059.0,35132.0,39255.0,44468.0,49451.0,55143.0,63975.0,71896.0,81427.0,98127.0,113690.0,124919.0,129253.0,133648.0,146164.0,164077.0,189430.0,222988.0,265466.0,331540.0,392940.0,451940.0,523570.0,602940.0,679200.0,982150.0,1049780.0
Delhi,,,,,,,,,,,,,,386.0,1155.0,1365.0,1714.0,2043.0,2245.0,2461.0,3000.0,2989.0,3492.0,3465.0,4267.0,4566.0,5139.0,7353.0,8920.0,10510.0,10810.0,13210.0,14569.999999999998,15430.000000000002,17780.0,22230.0
Puducherry,,,,,,,,,,,,,,,,,,,,,,,,,,797.0,800.0,927.0,1060.0,1370.0,1560.0,1720.0,1410.0,1870.0,2330.0,2730.0
