State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Andhra Pradesh ,8191.0,10041.0,10844.0,12564.0,13576.0,15266.0,16404.0,19608.0,24732.0,28284.0,33336.0,40659.0,44395.0,57867.0,68923.0,79854.0,90147.0,95782.0,114937.0,128797.0,144723.0,156711.0,167096.0,190017.0,134767.0,147606.0,174064.0,212361.0,237383.0,273327.0,319864.0,379229.63,410960.81,468493.95,532921.99,603376.25
Arunachal Pradesh,107.0,142.0,166.0,189.0,221.0,269.0,305.0,330.0,387.0,412.0,508.0,629.0,741.0,893.0,970.0,1184.0,1212.0,1337.0,1515.0,1612.0,1787.0,2104.0,2071.0,2368.0,3488.0,3755.0,4108.0,4810.0,5687.0,7474.0,9021.0,11062.685808000002,12546.64971,14607.356425999998,16389.232316999998,19472.534537712912
Assam,2516.0,3228.0,3657.0,4347.0,5113.0,5673.0,6176.0,7001.0,7600.0,9084.0,10621.0,11848.0,13048.0,15143.0,17551.0,19411.0,21017.0,22806.0,25558.0,34833.0,36814.0,38313.0,43407.0,47305.0,53398.0,59385.0,64692.0,71076.0,81074.0,95975.0,112688.0,143174.91,156864.24,177745.22,198098.0,
Bihar,7353.0,8562.0,9635.0,10945.0,13004.0,14295.0,16261.0,17638.0,21181.0,22610.0,26429.0,29519.0,31914.0,22812.0,25945.0,24483.0,32541.0,33662.0,39033.0,50174.0,57242.0,57657.0,64965.0,66174.0,77781.0,82490.0,100737.0,113680.0,142279.0,162923.0,203555.0,247143.95622101397,282367.9372982852,317101.3413195521,373919.8816262354,413503.20765376743
Chhattisgarh,,,,,,,,,,,,,,16194.0,18087.0,19749.0,21191.0,27716.0,30551.0,34323.0,32093.0,35069.0,37967.0,42449.0,47862.0,53381.0,66875.0,80255.0,96972.0,99364.0,119420.0,158073.83094574945,177511.32,206785.73,236317.82,
Goa,398.0,436.0,519.0,549.0,666.0,655.0,771.0,856.0,978.0,1128.0,1257.0,1551.0,1872.0,2397.0,2838.0,3319.0,3965.0,4921.0,6075.0,6330.0,6757.0,7097.0,8100.0,9301.0,12713.0,14327.0,16523.0,19565.0,25414.0,29126.0,33605.0,42252.73687609574,38647.28947017489,42243.4492187047,45547.55378676014,
Gujarat,7427.0,9253.0,9887.0,12681.0,13311.0,13988.0,16174.0,16339.0,22349.0,24777.0,27996.0,30632.0,40316.0,49194.0,63516.0,71886.0,85837.0,91188.0,105305.0,109861.0,111139.0,123573.0,141534.0,168080.0,203373.0,244736.0,283693.0,329285.0,367912.0,431262.0,521519.0,615606.0722653929,724495.7885026851,807623.1973498331,895926.7129520683,
Haryana,3386.0,3911.0,4485.0,4890.0,5382.0,6552.0,6889.0,7739.0,10015.0,11147.0,13636.0,16339.0,17343.0,22131.0,26245.0,29789.0,35642.0,38649.0,43646.0,51375.0,58183.0,65505.0,72528.0,82862.0,95795.0,108885.0,128732.0,151596.0,182522.0,223600.0,260621.0,300755.5680863657,350406.60943880305,395747.7261378142,441864.26298853016,
Himachal Pradesh,794.0,925.0,987.0,1127.0,1139.0,1372.0,1517.0,1722.0,2157.0,2436.0,2815.0,3317.0,3824.0,4783.0,5825.0,6698.0,7755.0,8837.0,10696.0,14112.0,15661.0,17148.0,18905.0,20721.0,24077.0,27127.0,30274.0,33963.0,41483.0,48189.0,57452.0,72719.8349787792,82819.77858488202,94764.15962692683,104368.7883527276,
Jammu & Kashmir,1186.0,1361.0,1561.0,1782.0,2021.0,2256.0,2620.0,2524.0,3065.0,3299.0,3614.0,4110.0,4558.0,6343.0,6977.0,8097.0,9124.0,10286.0,11415.0,15660.0,16700.0,18039.0,20326.0,22194.0,27305.0,29920.0,33230.0,37099.0,42315.0,48385.0,58073.0,77944.98239472862,86537.33448025769,97400.30947285835,102680.51088245836,
Jharkhand,,,,,,,,,,,,,,41079.0,47915.0,56215.0,65176.0,73046.0,87841.0,101247.0,108362.0,112847.0,120889.0,130990.0,59758.0,60901.0,66935.0,83950.0,87794.0,100621.0,127281.0,150917.59,174723.69,188566.62,217107.18,241955.0
